"DANH MỤC SẢN PHẨM & CÔNG THỨC, ĐỊNH LƯỢNG - BẾP YÊU THƯƠNG"
STT,DANH MỤC SẢN PHẨM,PHÂN LOẠI,SẢN PHẨM,Dung tích,ĐVT (chai lọ),Chất liệu,Thành phần,Định lượng,ĐVT (định lượng),Quy cách đóng gói,Ghi chú
1.0,Ginger Shot,,Ginger Shot Vàng,30.0,ml,thủy tinh,Gừng
2.0,,,,,,,Chanh vàng/chanh xanh
3.0,,,,,,,Dứa
4.0,,,,,,,Tiêu xay
5.0,,,Ginger Shot Xanh,30.0,ml,thủy tinh,Gừng
6.0,,,,,,,Dưa chuột/Dưa leo
7.0,,,,,,,Cần tây
8.0,,,,,,,Dứa
9.0,,,,,,,Tiêu xay
10.0,,,Ginger Shot Cam,30.0,ml,thủy tinh,Gừng
11.0,,,,,,,Cam/chanh
12.0,,,,,,,Dứa
13.0,,,,,,,Nghệ
14.0,,,,,,,Cà rốt
15.0,,,,,,,Tiêu xay
16.0,,,Ginger Shot Đỏ,30.0,ml,thủy tinh,Gừng
17.0,,,,,,,Củ dền
18.0,,,,,,,Chanh vàng/chanh xanh
19.0,,,,,,,Táo
20.0,,,,,,,Tiêu xay
21.0,,,Ginger Shot Hồng,30.0,ml,thủy tinh,Gừng
22.0,,,,,,,Táo
23.0,,,,,,,Thanh long đỏ/ Lựu (nếu vào mùa)
24.0,,,,,,,Chanh vàng/chanh xanh
25.0,Detox NGŨ GIAI DƯỠNG THÂN (gói trải nghiệm),Chạm lành Tam thanh,chai 1: nước ép,250.0,ml,nhựa,x,x,x,,chọn trong menu nước ép
26.0,,,chai 2: smoothie,250.0,ml,nhựa,x,x,x,,chọn trong menu smoothie hoa quả
27.0,,,chai 3: trà detox thảo mộc,250.0,ml,nhựa,x,x,x,,chọn trong menu trà detox thảo mộc
28.0,,Chạm lành Lục sắc,chai 1: Trà detox thảo mộc,250.0,ml,nhựa,x,x,x,,chọn trong menu trà detox thảo mộc
29.0,,,chai 2: Smoothie,250.0,ml,nhựa,x,x,x,,chọn trong menu smoothie hoa quả
30.0,,,chai 3: Smoothie,250.0,ml,nhựa,x,x,x,,chọn trong menu smoothie hoa quả
31.0,,,chai 4: Nước ép,250.0,ml,nhựa,x,x,x,,chọn trong menu nước ép
32.0,,,chai 5: Nước ép,250.0,ml,nhựa,x,x,x,,chọn trong menu nước ép
33.0,,,chai 6: Trà detox thảo mộc,250.0,ml,nhựa,x,x,x,,chọn trong menu trà detox thảo mộc
34.0,Detox NGŨ GIAI DƯỠNG THÂN,Thanh thể Nhẹ bụng,"lộ trình riêng theo 1 trong các công thức sau tùy sức khỏe mỗi KH:
1/ 2 - 2 - 2 (2 trà - 2 nước ép - 2 sữa hạt)
2/ 2 nước ép - 1 sữa hạt - 2 trà detox thảo mộc - 1 hũ mạch
3/ 3 nước ép - 1 smoothie - 1 sữa hạt - 1 trà detox thảo mộc",250.0,ml,nhựa
35.0,,Hòa vị An nhiên,Đồ uống,250.0,ml,thủy tinh
36.0,,,Bữa ăn sáng,100.0,gam,HCK,,,,,xem lại định lượng
37.0,,,,250.0,ml,nhựa
38.0,,,,1.0,quả,HCK
39.0,,,Bữa ăn tối,100.0,gam,HCK,,,,,xem lại định lượng
40.0,,,,150.0,gam,HCK,,,,,xem lại định lượng
41.0,,Dưỡng nguyên Tươi nhuận
42.0,,Trường xuân Rực rỡ
43.0,Nước ép,Thanh lọc cơ thể,Táo xanh thanh lọc,300.0,ml,nhựa,Táo xanh,150.0,ml
44.0,,,,,,,Dưa leo,150.0,ml
45.0,,,,,,,Nước cốt chanh,10.0,ml
46.0,,,,,,,Gừng,2.0,ml
47.0,,,,,,,Muối hồng,46296.0,thìa cà phê
48.0,,,Tỉnh táo cần tây,300.0,ml,nhựa,Cần tây,150.0,ml,,must try
49.0,,,,,,,Táo xanh,150.0,ml
50.0,,,,,,,Nước cốt chanh,10.0,ml
51.0,,,,,,,Muối hồng,46296.0,thìa cà phê
52.0,,,Kale thanh lọc,300.0,ml,nhựa,Cải Kale,125.0,ml
53.0,,,,,,,Dứa,50.0,ml
54.0,,,,,,,Dưa leo,125.0,ml
55.0,,,,,,,Nước cốt chanh,10.0,ml
56.0,,,,,,,Muối hồng,46296.0,thìa cà phê
57.0,,,Xanh dịu mỗi ngày,300.0,ml,nhựa,Rau bina,125.0,ml
58.0,,,,,,,Táo xanh,50.0,ml
59.0,,,,,,,Dưa leo,125.0,ml
60.0,,,,,,,Nước cốt chanh,2.0,ml
61.0,,,,,,,Muối hồng,46296.0,thìa cà phê
62.0,,,Táo leo xà lách,300.0,ml,nhựa,Xà lách,150.0,ml
63.0,,,,,,,Dưa leo,100.0,ml
64.0,,,,,,,Táo xanh,50.0,ml
65.0,,,,,,,Gừng,2.0,ml
66.0,,,,,,,Muối hồng,46296.0,thìa cà phê
67.0,,Hỗ trợ tiêu hóa,Dứa gừng thức giấc,300.0,ml,nhựa,Dứa,200.0,ml
68.0,,,,,,,Táo màu đỏ,100.0,ml
69.0,,,,,,,Gừng,2.0,ml
70.0,,,,,,,Nước cốt chanh,10.0,ml
71.0,,,,,,,Muối hồng,46296.0,thìa cà phê
72.0,,,Ổi tiêu hóa,300.0,ml,nhựa,Ổi hồng,100.0,ml
73.0,,,,,,,Dứa,200.0,ml
74.0,,,,,,,Nước cốt chanh,10.0,ml
75.0,,,,,,,Lá bạc hà,46054.0,lá
76.0,,,,,,,Muối hồng,46296.0,thìa cà phê
77.0,,,Táo gừng mật ong,300.0,ml,nhựa,Táo (màu đỏ),200.0,ml
78.0,,,,,,,Nước lọc/ nước dừa,90.0,ml
79.0,,,,,,,Gừng,2.0,ml
80.0,,,,,,,Mật ong,10.0,ml
81.0,,,,,,,Muối hồng,46296.0,thìa cà phê
82.0,,,Bưởi bạc thanh bụng,301.0,ml,nhựa,Bưởi da xanh,200.0,ml,,must try
83.0,,,,,,,Lá bạc hà,2.0,lá
84.0,,,,,,,Dưa leo,90.0,ml
85.0,,,,,,,Mật ong,10.0,ml
86.0,,,,,,,Muối hồng,46296.0,thìa cà phê
87.0,,,Cóc ổi thanh mát,300.0,ml,nhựa,Ổi xanh,200.0,ml
88.0,,,,,,,Cóc bao tử,100.0,ml
89.0,,,,,,,Lá bạc hà,2.0,lá
90.0,,,,,,,Muối hồng,46296.0,thìa cà phê
91.0,,Tăng cường miễn dịch & vitamin C,Cam cà đề kháng,300.0,ml,nhựa,Cam,150.0,ml
92.0,,,,,,,Cà rốt,150.0,ml
93.0,,,,,,,Nước cốt chanh,10.0,ml
94.0,,,,,,,Muối hồng,46296.0,thìa cà phê
95.0,,,Vitamin C(am),300.0,ml,nhựa,Cam tươi,300.0,ml
96.0,,,,,,,Gừng,2.0,ml
97.0,,,,,,,Muối hồng,46296.0,thìa cà phê
98.0,,,Cam ổi,300.0,ml,nhựa,Cam tươi,200.0,ml
99.0,,,,,,,Ổi hồng,100.0,ml
100.0,,,,,,,Gừng,2.0,ml
101.0,,,,,,,Muối hồng,46296.0,thìa cà phê
102.0,,,Cam dứa,300.0,ml,nhựa,Cam tươi,200.0,ml
103.0,,,,,,,Dứa,100.0,ml
104.0,,,,,,,Muối hồng,46296.0,thìa cà phê
105.0,,,,,,,Lá bạc hà,2.0,lá
106.0,,,Sáng khỏe rạng ngời,300.0,ml,nhựa,Cà rốt,90.0,ml,,must try
107.0,,,,,,,Táo,90.0,ml
108.0,,,,,,,Ổi hồng,120.0,ml
109.0,,,,,,,Nước cốt chanh,10.0,ml
110.0,,,,,,,Muối hồng,46296.0,thìa cà phê
111.0,,Tăng cường khí huyết & sáng da,Dền tươi hồng nhuận,300.0,ml,nhựa,Củ dền,140.0,ml
112.0,,,,,,,Cà rốt,150.0,ml
113.0,,,,,,,Mật ong,10.0,ml
114.0,,,,,,,Nước cốt chanh,10.0,ml
115.0,,,,,,,Muối hồng,46296.0,thìa cà phê
116.0,,,Hồng xuân dền cam,300.0,ml,nhựa,Củ dền,100.0,ml
117.0,,,,,,,Cam,200.0,ml
118.0,,,,,,,Gừng,1.0,ml
119.0,,,,,,,Nước cốt chanh,10.0,ml
120.0,,,,,,,Muối hồng,46296.0,thìa cà phê
121.0,,,Hấu hồng hào,300.0,ml,nhựa,Dưa hấu,200.0,ml
122.0,,,,,,,Nước cốt chanh,2.0,ml
123.0,,,,,,,Cà rốt,100.0,ml
124.0,,,,,,,Lá bạc hà,2.0,lá
125.0,,,,,,,Muối hồng,46296.0,thìa cà phê
126.0,,,Sắc màu rực rỡ,300.0,ml,nhựa,Cà rốt,150.0,ml
127.0,,,,,,,Táo (màu đỏ),50.0,ml
128.0,,,,,,,Ớt chuông,100.0,ml
129.0,,,,,,,Lá bạc hà,2.0,lá
130.0,,,,,,,Muối hồng,46296.0,thìa cà phê
131.0,,,Ổi hồng collagen,300.0,ml,nhựa,Ổi hồng,150.0,ml
132.0,,,,,,,Táo,150.0,ml
133.0,,,,,,,Nước cốt chanh,10.0,ml
134.0,,,,,,,Muối hồng,46296.0,thìa cà phê
135.0,,"Hỗ trợ gan, thận",Hấu đỏ mát gan,300.0,ml,nhựa,Dưa hấu,150.0,ml
136.0,,,,,,,Dưa leo,150.0,ml
137.0,,,,,,,Lá bạc hà,2.0,lá
138.0,,,,,,,Nước cốt chanh,10.0,ml
139.0,,,,,,,Muối hồng,46296.0,thìa cà phê
140.0,,,Đỏ thắm dưỡng gan,300.0,ml,nhựa,Củ dền,100.0,ml
141.0,,,,,,,Táo (màu đỏ),50.0,ml
142.0,,,,,,,Cà rốt,150.0,ml
143.0,,,,,,,Nước cốt chanh,10.0,ml
144.0,,,,,,,Muối hồng,46296.0,thìa cà phê
145.0,,,Lê cóc thanh mát,300.0,ml,nhựa,Lê,180.0,ml
146.0,,,,,,,Cóc bao tử,60.0,ml
147.0,,,,,,,Ổi hồng,60.0,ml
148.0,,,,,,,Lá bạc hà,2.0,lá
149.0,,,,,,,Nước cốt chanh,10.0,ml
150.0,,,,,,,Muối hồng,46296.0,thìa cà phê
151.0,,Chống oxy hóa,Lựu đỏ quyến rũ,300.0,ml,nhựa,Lựu,100.0,ml
152.0,,,,,,,Táo,200.0,ml
153.0,,,,,,,Nước cốt chanh,10.0,ml
154.0,,,,,,,Lá bạc hà,2.0,lá
155.0,,,,,,,Muối hồng,46296.0,thìa cà phê
156.0,,,Thanh long hồng ngọc,300.0,ml,nhựa,Thanh long đỏ,200.0,ml
157.0,,,,,,,Táo,100.0,ml
158.0,,,,,,,Nước cốt chanh,10.0,ml
159.0,,,,,,,Lá bạc hà,2.0,lá
160.0,,,,,,,Muối hồng,46296.0,thìa cà phê
161.0,,,Mận cam rực nắng,300.0,ml,nhựa,Mận đỏ,150.0,ml
162.0,,,,,,,Cam,50.0,ml
163.0,,,,,,,Dứa,100.0,ml
164.0,,,,,,,Lá bạc hà,2.0,lá
165.0,,,,,,,Muối hồng,46296.0,thìa cà phê
166.0,,Bổ sung năng lượng,Lựu cam bùng nổ,300.0,ml,nhựa,Lựu đỏ,150.0,ml
167.0,,,,,,,Cam,150.0,ml
168.0,,,,,,,Lá bạc hà,2.0,lá
169.0,,,,,,,Muối hồng,46296.0,thìa cà phê
170.0,,,Vàng bừng năng lượng,300.0,ml,nhựa,Xoài,100.0,ml
171.0,,,,,,,Dứa,50.0,ml
172.0,,,,,,,Nước dừa,150.0,ml
173.0,,,,,,,Nước cốt chanh,10.0,ml
174.0,,,,,,,Lá bạc hà,2.0,lá
175.0,,,Hồng thủy thanh long,300.0,ml,nhựa,Thanh long đỏ,100.0,ml
176.0,,,,,,,Nước dừa,150.0,ml
177.0,,,,,,,Táo,50.0,ml
178.0,,,,,,,Nước cốt chanh,10.0,ml
179.0,,,,,,,Lá bạc hà,2.0,lá
180.0,,,,,,,Muối hồng,46296.0,thìa cà phê
181.0,,,Xanh tươi năng lượng,300.0,ml,nhựa,Cần tây,50.0,ml
182.0,,,,,,,Dứa,100.0,ml
183.0,,,,,,,Dưa leo,150.0,ml
184.0,,,,,,,Gừng,5.0,ml
185.0,,,,,,,Nước cốt chanh,10.0,ml
186.0,,Làm mát cơ thể,Ổi hồng mùa hè,300.0,ml,nhựa,Ổi hồng,180.0,ml
187.0,,,,,,,Táo (màu đỏ),120.0,ml
188.0,,,,,,,Nước cốt chanh,10.0,ml
189.0,,,,,,,Gừng,5.0,ml
190.0,,,,,,,Muối hồng,46296.0,thìa cà phê
191.0,,,Cóc dứa chua ngọt,300.0,ml,nhựa,Cóc bao tử,100.0,ml
192.0,,,,,,,Dứa,180.0,ml
193.0,,,,,,,Nước cốt chanh,10.0,ml
194.0,,,,,,,Mật ong,10.0,ml
195.0,,,,,,,Muối hồng,46296.0,thìa cà phê
196.0,,,Dưa hấu bạc hà,300.0,ml,nhựa,Dưa hấu,150.0,ml
197.0,,,,,,,Dứa,100.0,ml
198.0,,,,,,,Táo xanh,50.0,ml
199.0,,,,,,,Lá bạc hà,2.0,lá
200.0,,,,,,,Muối hồng,46296.0,thìa cà phê
201.0,Smoothie hoa quả,,Nắng vàng,300.0,ml,nhựa,Xoài chín
202.0,,,,,,,Dứa
203.0,,,,,,,Sữa chua không đường
204.0,,,,,,,Nước dừa
205.0,,,,,,,Mật ong
206.0,,,,,,,Đá
207.0,,,Hồng mộng,300.0,ml,nhựa,Dâu tây/Berry
208.0,,,,,,,Chuối
209.0,,,,,,,Sữa hạt
210.0,,,,,,,Hạt chia
211.0,,,,,,,Đá
212.0,,,Thon thả,300.0,ml,nhựa,Xoài chín
213.0,,,,,,,Rau bina
214.0,,,,,,,Nước dừa
215.0,,,,,,,Hạt chia
216.0,,,,,,,Đá
217.0,,,Mịn màng,300.0,ml,nhựa,Bơ
218.0,,,,,,,Chuối
219.0,,,,,,,Sữa hạt
220.0,,,,,,,Sữa chua không đường
221.0,,,,,,,Đá
222.0,,,Nhiệt đới,300.0,ml,nhựa
223.0,,,Thanh xuân,300.0,ml,nhựa
224.0,Smoothie no lâu,,Bình minh,300.0,ml,nhựa
225.0,,,Nâu ấm,300.0,ml,nhựa
226.0,,,Thanh lành,300.0,ml,nhựa
227.0,,,Đủ đầy,300.0,ml,nhựa
228.0,,,Vững vàng,300.0,ml,nhựa
229.0,,,Hồng năng lượng,300.0,ml,nhựa
230.0,,,Hồng yên,300.0,ml,nhựa
231.0,,,Sức sống,300.0,ml,nhựa
232.0,,,Nắng tròn,300.0,ml,nhựa
233.0,Hạt lành mỗi ngày,Set 7 ngày chưa sơ chế,Set dinh dưỡng
234.0,,,Set vị vàng
235.0,,,Set thanh mát
236.0,,,Set cân bằng
237.0,,,Set lành mạnh
238.0,,Set 14 ngày chưa sơ chế,Set dinh dưỡng tự nhiên
239.0,,,Set năng lượng mỗi ngày
240.0,,,Set thanh mát & giải nhiệt
241.0,,,Set đẹp da - khỏe dáng
242.0,,Set 30 ngày chưa sơ chế
243.0,,Set 7 ngày sẵn sàng,Set dinh dưỡng
244.0,,,Set vị vàng
245.0,,,Set thanh mát
246.0,,,Set cân bằng
247.0,,,Set lành mạnh
248.0,,Set 14 ngày sẵn sàng,Set dinh dưỡng tự nhiên
249.0,,,Set năng lượng mỗi ngày
250.0,,,Set thanh mát & giải nhiệt
251.0,,,Set đẹp da - khỏe dáng
252.0,,Set 30 ngày sẵn sàng
253.0,Hũ mạch yêu thương,,Hũ mạch nguyên sơ
254.0,,,Hũ mạch trà xanh
255.0,,,Hũ mạch cacao
256.0,Trà thảo mộc,,Trà an cốc
257.0,,,Trà hồng nhuận
258.0,,,Trà thanh an
259.0,,,Trà minh khí
260.0,Sữa hạt cao cấp,Dưỡng thai,Tam nguyệt ẩm
261.0,,,Huyền hạt ẩm
262.0,,,Sen cốc thang
263.0,,,Kim kê ẩm
264.0,,Lợi sữa,Huyền nhũ ẩm
265.0,,,Hồng cốc thang
266.0,,,Bích nguyên ẩm
